Date,1/1/2017,1/2/2017,1/3/2017,1/4/2017,1/5/2017,1/6/2017,1/7/2017,1/8/2017,1/9/2017,1/10/2017,1/11/2017,1/12/2017,1/13/2017,1/14/2017,1/15/2017,1/16/2017,1/17/2017,1/18/2017,1/19/2017,1/20/2017,1/21/2017,1/22/2017,1/23/2017,1/24/2017,1/25/2017,1/26/2017,1/27/2017,1/28/25017,1/29/2017,1/30/2017,1/31/2017
53005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58839,0,0,0.21,0.01,0.51,0,0,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0
52761,0,0,0.25,0.1,0,0.79,0,0,0,0,0,0,0.11,0,0,0,0.17,0,0,0,0,0,0,0.12,0.03,0,0,0,0,0,0
